hidden_layer_1,hidden_layer_2,learning_rate,beta,epsilon_multiplier,epsilon,number_of_clusters,number_of_outliers,outlier_percentage,smallest_cluster_size,silhouette_score,davies_bouldin_index,calinski_harabasz_index,valid_model,silhouette_rank,davies_bouldin_rank,calinski_harabasz_rank,combined_rank
128,64,0.0005,0.2,0.8,0.10665873197867737,17,289,3.677312635195318,51,0.9340552091598511,0.1650885119799643,409526.127841209,True,17.0,24.0,22.0,63.0
256,128,0.0002,0.2,0.9,0.04854980164832184,19,270,3.4355515968952797,51,0.9288187026977539,0.11442706640147716,366330.1533505691,True,32.0,5.0,30.0,67.0
128,64,0.0004,0.2,0.9,0.10825582715985325,18,184,2.3412647919582645,63,0.9358163475990295,0.1755592346715422,405221.41891435836,True,13.0,32.0,24.0,69.0
256,128,0.0002,0.2,1.0,0.053944224053690926,19,252,3.206514823768927,51,0.9277872443199158,0.11646755438237487,355006.24405904213,True,34.0,6.0,32.0,72.0
128,64,0.0004,0.2,1.0,0.12028425239983695,18,182,2.315816261610892,63,0.9356645941734314,0.1766056307159441,402816.97303316125,True,14.0,35.0,25.0,74.0
128,64,0.0005,0.2,0.9,0.11999107347601204,18,237,3.0156508461636338,51,0.9326078295707703,0.17207793135617588,382864.4839360183,True,24.0,29.0,26.0,79.0
256,128,0.0003,0.25,1.0,0.06425748551261294,23,117,1.4887390253212875,51,0.9293068051338196,0.17590821853459943,495869.49813153985,True,31.0,33.0,19.0,83.0
128,64,0.0005,0.2,1.0,0.1333234149733467,18,227,2.8884081944267717,51,0.9323060512542725,0.17441521086659711,379946.44511110877,True,25.0,31.0,27.0,83.0
256,128,0.0005,0.2,0.8,0.19011157277544447,20,127,1.6159816770581499,64,0.9340274333953857,0.1924892911075909,296644.3129109366,True,18.0,40.0,40.0,98.0
128,64,0.0007,0.2,0.8,0.2034356489770259,19,164,2.08677948848454,51,0.9335984587669373,0.2020530436182622,300368.6625367467,True,20.0,49.0,38.0,107.0
256,128,0.001,0.25,0.9,0.20389155257560762,17,249,3.168342028247869,51,0.9442585706710815,0.2560548555925935,430141.2989491085,True,3.0,85.0,21.0,109.0
256,128,0.0006,0.25,0.8,0.02332767615803482,10,47,0.5980404631632523,190,0.9027693867683411,0.16311519463674476,564738.0801860671,True,85.0,21.0,8.0,114.0
256,128,0.0006,0.25,0.9,0.02624363567778917,10,36,0.4580735462527039,190,0.9022390842437744,0.1632358334332331,551670.5674470926,True,87.0,22.0,9.0,118.0
256,128,0.0006,0.2,0.8,0.10935380330871747,23,34,0.4326250159053315,51,0.9310136437416077,0.22028583303148164,379199.2108770857,True,26.0,65.0,28.0,119.0
256,128,0.0009,0.2,0.8,0.15016678540779974,24,182,2.315816261610892,51,0.9356160759925842,0.2506382184361892,407809.9524970821,True,15.0,83.0,23.0,121.0
128,64,0.0003,0.2,0.8,0.17522536564619476,16,149,1.8959155108792467,93,0.9214101433753967,0.17771921234462607,305969.51154510264,True,50.0,36.0,36.0,122.0
128,64,0.0002,0.25,0.8,0.12627009564249966,15,107,1.3614963735844254,51,0.9231183528900146,0.18198088287805156,288276.28681006975,True,43.0,38.0,43.0,124.0
256,128,0.0006,0.25,1.0,0.029159595197543523,10,24,0.30538236416846926,190,0.9016613960266113,0.16336802177247617,537055.9867238196,True,91.0,23.0,13.0,127.0
128,64,0.0002,0.25,0.9,0.1420538575978121,15,106,1.3487721084107391,51,0.9230537414550781,0.18226856145254466,287797.373608259,True,44.0,39.0,44.0,127.0
128,64,0.0003,0.15,0.8,0.08617149087501087,15,257,3.2701361496373584,56,0.9225032925605774,0.1728456594068645,255794.0145492158,True,45.0,30.0,52.0,127.0
256,128,0.0008,0.25,0.8,0.15416130435087164,20,137,1.7432243287950122,51,0.9334794878959656,0.2382718027450068,333242.54065415135,True,21.0,75.0,33.0,129.0
128,64,0.0003,0.15,0.9,0.09694292723438723,15,241,3.066547906858379,60,0.9218086004257202,0.17635903082999696,253027.1890863402,True,46.0,34.0,54.0,134.0
256,128,0.0008,0.25,0.9,0.1734314673947306,20,130,1.6541544725792083,51,0.9328486323356628,0.24276419132159646,326658.2677360132,True,23.0,79.0,34.0,136.0
256,128,0.0002,0.25,0.8,0.11349958909663208,16,105,1.336047843237053,52,0.9217910170555115,0.21280233161161974,322571.9651223355,True,47.0,60.0,35.0,142.0
256,128,0.0003,0.2,0.8,0.0650572872869591,24,120,1.5269118208423464,51,0.9165188670158386,0.16595751380928672,220857.70834915366,True,59.0,26.0,58.0,143.0
128,64,0.0003,0.15,1.0,0.10771436359376359,15,228,2.901132459600458,63,0.9212225079536438,0.1799602053152341,251053.41151192522,True,51.0,37.0,56.0,144.0
